customer_id,age,income,account_balance,transaction_amount,tenure_months,num_products,credit_score,digital_banking_usage,complaint_count,branch_id,transaction_type,churned,is_suspicious_transaction
1,56,47410.143732880955,11570.851782828959,862.3816812633846,161,5,630.9284553619096,3,1,BR003,Bill Payment,0,0
2,69,72734.05509416955,7999.508746108155,255.55205049034888,59,1,731.6246723795023,31,1,BR004,Withdrawal,0,0
3,46,85917.51860739526,15651.472767413125,193.0957239700933,114,2,762.6501177685586,21,0,BR002,Transfer,0,0
4,32,18000.0,10270.041597276086,115.69112064808044,161,3,764.6999746941957,19,0,BR001,Deposit,1,0
5,60,62623.17060463649,15106.36034825797,370.7440363762408,160,4,751.9866915289474,19,0,BR001,Deposit,1,0
6,25,63486.60137843268,4352.328010560708,847.6125450508542,101,2,689.6531985183258,5,0,BR003,Deposit,1,0
7,38,55934.40597495663,11305.626162527053,157.01635503602282,169,5,662.4631104166872,8,0,BR001,Withdrawal,0,0
8,56,71637.2929688129,6230.313611033533,201.82843935244875,12,1,646.7028072433054,27,0,BR001,Transfer,0,0
9,36,79465.43136490925,0.0,208.7718297300152,119,3,593.4750758378775,12,2,BR001,Bill Payment,1,0
10,40,68125.1207751414,16337.620085229166,329.13139590719095,139,1,768.42975903555,30,0,BR003,Bill Payment,0,0
11,28,56775.79733091249,896.0444260000004,103.72024491349636,97,5,686.7702273449017,38,0,BR004,Transfer,0,0
12,28,78917.66859525393,10517.331629063081,690.8634794535433,147,1,611.7561794465388,13,0,BR001,Bill Payment,1,0
13,41,66079.17500403586,20334.614212451197,140.16485424778406,57,3,641.1456037002836,21,1,BR004,Deposit,1,0
14,70,59924.59090969948,0.0,488.8040558863385,42,1,638.3118580497213,36,0,BR003,Transfer,0,0
15,53,36129.85352254378,17442.156872546417,287.9737022617874,98,3,702.0117139510588,23,1,BR004,Withdrawal,0,0
16,57,30621.594724146278,9301.678887282036,352.65680033693326,31,1,773.722749574948,7,1,BR002,Transfer,1,0
17,41,35712.94456029045,3301.2893916564244,79.18956190042263,2,1,674.6407315283092,14,0,BR001,Deposit,1,0
18,20,71123.23934684473,30206.309599974615,531.2451988491093,166,3,541.3226539651446,5,0,BR003,Transfer,0,0
19,39,63260.26755266026,11994.993338206483,83.6077667890099,32,1,685.7573765388756,22,2,BR003,Withdrawal,1,0
20,70,32433.749839435808,6887.16399380933,48.177766528450654,138,2,688.0664269931963,24,0,BR004,Withdrawal,0,0
21,19,79210.19216746384,4978.083698702383,316.4623591596204,105,4,683.2555838345135,30,0,BR001,Transfer,1,0
22,41,95234.8092899401,19930.462215930267,494.1814490165468,136,2,655.0777183467009,28,2,BR003,Transfer,0,0
23,61,51833.140432240616,6491.4939618292965,20.53240706478645,75,4,714.2207356508089,22,0,BR002,Bill Payment,0,0
24,47,26698.399137895773,18808.66288686923,28.76828205358093,105,2,703.6298780604301,9,0,BR004,Bill Payment,0,0
25,55,49399.21953215792,11977.681519891554,649.1697037178245,148,4,697.2618780111347,8,0,BR002,Deposit,0,0
26,19,83798.13378948327,22045.692579904637,662.2612268804975,148,1,727.8848953010076,12,2,BR002,Bill Payment,1,0
27,38,77067.65688776503,2617.144972654045,112.57648398190409,127,3,668.9117023796503,31,0,BR004,Deposit,1,0
28,50,44706.480907747464,3872.4308481359594,382.04194199076153,9,3,664.9390031209542,0,0,BR002,Deposit,1,0
29,29,98465.78703082431,9470.952173729384,234.20535440801248,15,5,795.608630270978,0,0,BR004,Transfer,1,0
30,39,94662.16145038078,10217.401522277018,400.62621946325396,97,4,738.1548786800805,36,1,BR004,Bill Payment,0,0
31,61,48873.86660791389,8808.986741726905,794.7574412665265,105,5,756.886224265996,39,2,BR003,Withdrawal,0,0
32,42,48647.61993477073,35682.96364883866,33.29022435140212,63,5,784.8273209733848,17,2,BR003,Withdrawal,1,0
